AnnotSV ID	SV chrom	SV start	SV end	SV length										AnnotSV type	Gene name	tx	CDS length	frameshift	tx length	location	location2	distNearestSS	nearestSStype	intersectStart	intersectEnd	DGV_GAIN_IDs	DGV_GAIN_n_samples_with_SV	DGV_GAIN_n_samples_tested	DGV_GAIN_Frequency	DGV_LOSS_IDs	DGV_LOSS_n_samples_with_SV	DGV_LOSS_n_samples_tested	DGV_LOSS_Frequency	GD_ID	GD_AN	GD_N_HET	GD_N_HOMALT	GD_AF	GD_POPMAX_AF	GD_ID_others	1000g_event	IMH_ID	IMH_AF	IMH_ID_others	promoters	dbVar_event	dbVar_variant	dbVar_status	TADcoordinates	ENCODEexperiments	GCcontent_left	GCcontent_right	Repeats_coord_left	Repeats_type_left	Repeats_coord_right	Repeats_type_right	Gap_left	Gap_right	SegDup_left	SegDup_right	ENCODE_blacklist_left	ENCODE_blacklist_characteristics_left	ENCODE_blacklist_right	ENCODE_blacklist_characteristics_right	ACMG	HI_CGscore	TriS_CGscore	DDD_status	DDD_mode	DDD_consequence	DDD_disease	DDD_pmids	HI_DDDpercent	delZ_ExAC	dupZ_ExAC	cnvZ_ExAC	synZ_ExAC	misZ_ExAC	pLI_ExAC	Mim Number	Phenotypes	Inheritance	morbidGenes	morbidGenesCandidates
1_77900000_78000000__1	1	77900000	78000000		780	0	Des	chr1	77900000	78000000	780	0	Des	full	DNAJB4/FUBP1/NEXN												0	0	-1		0	0	-1					-1	-1	gnomAD_v2_INV_1_7			-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:31594522-94732184_INV;1:68663391-188869781_INV;1:75962659-179353269_INV	DNAJB4/FUBP1	copy_number_gain;copy_number_loss	nssv13644157;nssv13644718;nssv13647615;nssv13653606;nssv13654536;nssv15136913;nssv15143555;nssv15146712;nssv15149488;nssv15149867;nssv15151118;nssv15151300;nssv15156967;nssv15156970;nssv15772052;nssv1603181;nssv582846	Pathogenic	1:77934316-78774315;1:77934317-78774315	ENCFF311BGF:ENCFF654ZID	0.355	0.285																					17.93	1.08861807758628	0.846261135343483	1.03108915854055	0.523116266147785	3.04062539800037	0.999921931872436	613121			yes	
1_77900000_78000000__1	1	77900000	78000000		780	0	Des	chr1	77900000	78000000	780	0	Des	split	DNAJB4	NM_001317100	91	yes	20843	txStart-intron2	5'UTR-CDS	7134	5'	77979157	78000000		0	0	-1		0	0	-1					-1	-1	gnomAD_v2_INV_1_7			-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:31594522-94732184_INV;1:68663391-188869781_INV;1:75962659-179353269_INV	DNAJB4/FUBP1	copy_number_gain;copy_number_loss	nssv13644157;nssv13644718;nssv13647615;nssv13653606;nssv13654536;nssv15136913;nssv15143555;nssv15146712;nssv15149488;nssv15149867;nssv15151118;nssv15151300;nssv15156967;nssv15156970;nssv15772052;nssv1603181;nssv582846	Pathogenic																									17.93	0.632094241448583	0.846261135343483	1.03108915854055	0.029281157658789	0.315898712035294	0.803952638406165					
1_77900000_78000000__1	1	77900000	78000000		780	0	Des	chr1	77900000	78000000	780	0	Des	split	FUBP1	NM_001376056	2001	no	35018	txStart-txEnd	5'UTR-3'UTR			77944054	77979072		0	0	-1		0	0	-1					-1	-1	gnomAD_v2_INV_1_7			-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:31594522-94732184_INV;1:68663391-188869781_INV;1:75962659-179353269_INV	DNAJB4	copy_number_gain;copy_number_loss	nssv13644157;nssv13644718;nssv13647615;nssv13653606;nssv13654536;nssv15136913;nssv15143555;nssv15146712;nssv15149488;nssv15149867;nssv15151118;nssv15151300;nssv15156967;nssv15156970;nssv15772052;nssv1603181;nssv582846	Pathogenic																									7.23	1.08861807758628	-0.351838801289481	0.124569770953585	-0.998715259132341	3.04062539800037	0.999921931872436					
1_77900000_78000000__1	1	77900000	78000000		780	0	Des	chr1	77900000	78000000	780	0	Des	split	NEXN	NM_144573	2028	no	43893	intron1-txEnd	5'UTR-3'UTR	11241	5'	77900000	77943893		0	0	-1		0	0	-1					-1	-1	gnomAD_v2_INV_1_7			-1	1:77866132-77949704_DUP;1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:31594522-94732184_INV;1:68663391-188869781_INV;1:75962659-179353269_INV		copy_number_gain;copy_number_loss	nssv13644157;nssv13644718;nssv13647615;nssv13653606;nssv13654536;nssv15136913;nssv15143555;nssv15146712;nssv15149488;nssv15149867;nssv15151118;nssv15151300;nssv15156967;nssv15156970;nssv15772052;nssv1603181;nssv582846	Pathogenic																									14.3	0.283233504302938	-1.87315971729426	-1.3193790685385	0.523116266147785	-1.07814953827675	0.00511689375651264	613121	Cardiomyopathy, hypertrophic, 20, 613876 (3)/ Cardiomyopathy, dilated, 1CC, 613122 (3)	AD	yes	
1_120200000_120300000__1	1	120200000	120300000		1203	0	Des	chr1	120200000	120300000	1203	0	Des	full													0	0	-1		0	0	-1					-1	-1				-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV;1:109177596-154287541_INV		copy_number_gain;duplication	nssv13639292;nssv13640404;nssv13644157;nssv13653606;nssv15121047;nssv15132414;nssv15139736;nssv15140622;nssv15148036;nssv15149867;nssv15150798;nssv15151118;nssv15156967;nssv15156970;nssv1612653;nssv578528;nssv578530;nssv585195	Pathogenic			0.335	0.460	1:120199852-120200055	MamRep605	1:120299697-120300193	MLT1F2			1:119989247-120323081/1:120148129-120447921/1:120192772-120323081	1:119989247-120323081/1:120148129-120447921/1:120192772-120323081																								
1_144200000_144300000__1	1	144200000	144300000		1443	0	Des	chr1	144200000	144300000	1443	0	Des	full	DRD5P2/LOC101060524/LOC101927429/LSP1P5												0	0	-1		0	0	-1					-1	-1				-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV;1:109177596-154287541_INV;1:120535004-148975895_INV;1:121335446-144944636_INV;1:144076631-144884296_INV	DRD5P2/LOC101060524/LSP1P5	copy_number_gain;copy_number_loss;deletion;duplication	nssv1157193;nssv1157217;nssv1157273;nssv1157306;nssv1157307;nssv1157308;nssv1157309;nssv1157315;nssv13640404;nssv13641209;nssv13644157;nssv13644720;nssv13653606;nssv13654197;nssv1415280;nssv1494841;nssv15127572;nssv15128914;nssv15129680;nssv15132352;nssv15132445;nssv15133691;nssv15135169;nssv15135787;nssv15136257;nssv15136850;nssv15137132;nssv15137470;nssv15137633;nssv15137778;nssv15139736;nssv15140622;nssv15149867;nssv15151118;nssv15156967;nssv15156970;nssv1602489;nssv1602734;nssv1604767;nssv1610617;nssv1611841;nssv1612189;nssv1612653;nssv3395745;nssv3447232;nssv3448513;nssv3450228;nssv3452442;nssv3457499;nssv3459009;nssv3460391;nssv3462607;nssv578532;nssv582207;nssv582540;nssv582847;nssv583224;nssv583802;nssv584352;nssv584353;nssv706411;nssv7472674	Pathogenic			0.410	0.295	1:144199646-144199957/1:144200011-144200302	AluJo/AluY	1:144299784-144300192	L1ME1			1:144105093-144224171/1:144136977-144356500/1:144139185-144394054/1:144140035-144319093/1:144166391-144218278/1:144195316-144319093	1:144136977-144356500/1:144139185-144394054/1:144140035-144319093/1:144195316-144319093/1:144278215-144307708/1:144278215-144307708/1:144278215-144319093/1:144295514-144307708																								
1_144200000_144300000__1	1	144200000	144300000		1443	0	Des	chr1	144200000	144300000	1443	0	Des	split	DRD5P2	NR_111001	0	no	2210	txStart-txEnd	UTR			144274552	144276762		0	0	-1		0	0	-1					-1	-1				-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV;1:109177596-154287541_INV;1:120535004-148975895_INV;1:121335446-144944636_INV;1:144076631-144884296_INV		copy_number_gain;copy_number_loss;deletion;duplication	nssv1157193;nssv1157217;nssv1157273;nssv1157306;nssv1157307;nssv1157308;nssv1157309;nssv1157315;nssv13640404;nssv13641209;nssv13644157;nssv13644720;nssv13653606;nssv13654197;nssv1415280;nssv1494841;nssv15127572;nssv15128914;nssv15129680;nssv15132352;nssv15132445;nssv15133691;nssv15135169;nssv15135787;nssv15136257;nssv15136850;nssv15137132;nssv15137470;nssv15137633;nssv15137778;nssv15139736;nssv15140622;nssv15149867;nssv15151118;nssv15156967;nssv15156970;nssv1602489;nssv1602734;nssv1604767;nssv1610617;nssv1611841;nssv1612189;nssv1612653;nssv3395745;nssv3447232;nssv3448513;nssv3450228;nssv3452442;nssv3457499;nssv3459009;nssv3460391;nssv3462607;nssv578532;nssv582207;nssv582540;nssv582847;nssv583224;nssv583802;nssv584352;nssv584353;nssv706411;nssv7472674	Pathogenic																																				
1_144200000_144300000__1	1	144200000	144300000		1443	0	Des	chr1	144200000	144300000	1443	0	Des	split	LOC101060524	NR_111000	0	no	2210	txStart-txEnd	UTR			144274552	144276762		0	0	-1		0	0	-1					-1	-1				-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV;1:109177596-154287541_INV;1:120535004-148975895_INV;1:121335446-144944636_INV;1:144076631-144884296_INV		copy_number_gain;copy_number_loss;deletion;duplication	nssv1157193;nssv1157217;nssv1157273;nssv1157306;nssv1157307;nssv1157308;nssv1157309;nssv1157315;nssv13640404;nssv13641209;nssv13644157;nssv13644720;nssv13653606;nssv13654197;nssv1415280;nssv1494841;nssv15127572;nssv15128914;nssv15129680;nssv15132352;nssv15132445;nssv15133691;nssv15135169;nssv15135787;nssv15136257;nssv15136850;nssv15137132;nssv15137470;nssv15137633;nssv15137778;nssv15139736;nssv15140622;nssv15149867;nssv15151118;nssv15156967;nssv15156970;nssv1602489;nssv1602734;nssv1604767;nssv1610617;nssv1611841;nssv1612189;nssv1612653;nssv3395745;nssv3447232;nssv3448513;nssv3450228;nssv3452442;nssv3457499;nssv3459009;nssv3460391;nssv3462607;nssv578532;nssv582207;nssv582540;nssv582847;nssv583224;nssv583802;nssv584352;nssv584353;nssv706411;nssv7472674	Pathogenic																																				
1_144200000_144300000__1	1	144200000	144300000		1443	0	Des	chr1	144200000	144300000	1443	0	Des	split	LOC101927429	NR_136328	0	no	23517	intron2-txEnd	UTR	2174	5'	144276483	144300000		0	0	-1		0	0	-1					-1	-1				-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV;1:109177596-154287541_INV;1:120535004-148975895_INV;1:121335446-144944636_INV;1:144076631-144884296_INV	DRD5P2/LOC101060524	copy_number_gain;copy_number_loss;deletion;duplication	nssv1157193;nssv1157217;nssv1157273;nssv1157306;nssv1157307;nssv1157308;nssv1157309;nssv1157315;nssv13640404;nssv13641209;nssv13644157;nssv13644720;nssv13653606;nssv13654197;nssv1415280;nssv1494841;nssv15127572;nssv15128914;nssv15129680;nssv15132352;nssv15132445;nssv15133691;nssv15135169;nssv15135787;nssv15136257;nssv15136850;nssv15137132;nssv15137470;nssv15137633;nssv15137778;nssv15139736;nssv15140622;nssv15149867;nssv15151118;nssv15156967;nssv15156970;nssv1602489;nssv1602734;nssv1604767;nssv1610617;nssv1611841;nssv1612189;nssv1612653;nssv3395745;nssv3447232;nssv3448513;nssv3450228;nssv3452442;nssv3457499;nssv3459009;nssv3460391;nssv3462607;nssv578532;nssv582207;nssv582540;nssv582847;nssv583224;nssv583802;nssv584352;nssv584353;nssv706411;nssv7472674	Pathogenic																																				
1_144200000_144300000__1	1	144200000	144300000		1443	0	Des	chr1	144200000	144300000	1443	0	Des	split	LSP1P5	NR_027355	0	no	23269	txStart-txEnd	UTR			144227028	144250297		0	0	-1		0	0	-1					-1	-1				-1	1:83945-209460925_INV;1:9525496-193637393_INV;1:10187872-186857210_INV;1:16798093-234784887_INV;1:24738218-238056495_INV;1:68663391-188869781_INV;1:75962659-179353269_INV;1:107555342-232824950_INV;1:109177596-154287541_INV;1:120535004-148975895_INV;1:121335446-144944636_INV;1:144076631-144884296_INV	LSP1P5	copy_number_gain;copy_number_loss;deletion;duplication	nssv1157193;nssv1157217;nssv1157273;nssv1157306;nssv1157307;nssv1157308;nssv1157309;nssv1157315;nssv13640404;nssv13641209;nssv13644157;nssv13644720;nssv13653606;nssv13654197;nssv1415280;nssv1494841;nssv15127572;nssv15128914;nssv15129680;nssv15132352;nssv15132445;nssv15133691;nssv15135169;nssv15135787;nssv15136257;nssv15136850;nssv15137132;nssv15137470;nssv15137633;nssv15137778;nssv15139736;nssv15140622;nssv15149867;nssv15151118;nssv15156967;nssv15156970;nssv1602489;nssv1602734;nssv1604767;nssv1610617;nssv1611841;nssv1612189;nssv1612653;nssv3395745;nssv3447232;nssv3448513;nssv3450228;nssv3452442;nssv3457499;nssv3459009;nssv3460391;nssv3462607;nssv578532;nssv582207;nssv582540;nssv582847;nssv583224;nssv583802;nssv584352;nssv584353;nssv706411;nssv7472674	Pathogenic																																				
